country_iso3,AI_LIT_001,AI_LIT_002,AI_LIT_004,AI_LIT_005,META_COG_001,META_COG_002,META_COG_003,DEC_AGY_001,DEC_AGY_002,DEC_AGY_003,DEC_AGY_004,DEC_AGY_005,ENAB_001,ENAB_002,ENAB_003,ENAB_004,ENAB_005
MKD,0.0020637895055935136,0.0055952859341924805,0.05128205128205128,0.02564102564102564,0.020392396244623644,0.16973886808748712,0.030303030303030276,0.012997785161193558,0.011527989376782422,0.0,0.059055118110236116,0.18303571428571397,0.0,0.0,0.10588235294117787,0.0,0.0
MLT,0.4138886220675828,0.2387852526157101,0.3076923076923077,0.3333333333333333,0.6446096391013745,0.3513501059480837,0.47878787878787854,0.14727478395627575,0.09273185299358128,0.3922651933701662,0.19291338582677175,0.20982142857142838,0.32872928176795657,0.28368794326241176,0.5176470588235293,0.5308641975308639,0.3888888888888884
NLD,0.9006551195339335,0.7527528365910792,0.9743589743589743,0.782051282051282,0.7245709914993925,0.9138656307575874,0.6666666666666665,0.7261217167564383,0.9358755430983173,0.8287292817679566,0.7204724409448819,0.8482142857142856,0.9005524861878449,0.7021276595744688,0.7764705882352949,0.716049382716049,0.6805555555555554
NOR,0.8145503165270747,0.7345684891108339,0.7692307692307693,0.8205128205128205,0.9227653409610319,0.8349503654378649,0.8909090909090907,0.9110494166655214,0.8929012873095734,0.8508287292817682,0.8070866141732287,0.90625,1.0,1.0,1.0,0.7469135802469138,0.8402777777777777
NZL,0.6009413082550915,0.5208890499213547,0.5641025641025641,0.5897435897435898,0.6375816802288315,0.4518505667983798,0.6727272727272724,0.8830097338528284,0.8628776039490587,0.6850828729281773,0.6614173228346458,0.9285714285714284,0.45948434622467715,0.6170212765957448,0.48235294117647065,0.6419753086419755,0.4722222222222223
POL,0.29154064908609617,0.5582497771916838,0.15384615384615385,0.15384615384615385,0.3072528275905916,0.2198457844836949,0.648484848484848,0.28198343741063686,0.20552961296018207,0.2762430939226528,0.28740157480314954,0.38839285714285676,0.4631675874769794,0.3049645390070923,0.27058823529411846,0.4938271604938267,0.49305555555555536
PRT,0.2024528218342475,0.20788591417921226,0.3974358974358974,0.1794871794871795,0.31389250530958657,0.19024591071984887,0.6121212121212118,0.5048202702108722,0.6155135875098757,0.48618784530386794,0.38976377952755925,0.43303571428571397,0.3922651933701662,0.4680851063829792,0.44705882352941373,0.38271604938271686,0.4861111111111116
ROU,0.08793787462156716,0.023260722061511963,0.02564102564102564,0.0641025641025641,0.05865458369652048,0.007866180508245871,0.0,0.05502525890239817,0.26236450313764803,0.15469613259668513,0.0866141732283463,0.40625,0.10128913443830534,0.17730496453900724,0.0,0.2592592592592595,0.06944444444444464
SGP,0.8555318825634242,0.9218365911737104,0.9230769230769231,1.0,0.7752720567959477,0.9752661814498873,0.915151515151515,0.6571795782574493,0.5649564850066698,0.541436464088398,0.6614173228346458,0.7410714285714284,0.9465930018416202,0.7234042553191493,0.976470588235296,1.0,0.791666666666667
SVK,0.055891255223358374,0.28788353282907186,0.1282051282051282,0.358974358974359,0.039696024798984875,0.04855157525381873,0.5030303030303029,0.10665031129264807,0.14796965945533908,0.320441988950277,0.2440944881889764,0.24107142857142838,0.2955801104972382,0.2340425531914896,0.27058823529411846,0.3641975308641978,0.3263888888888893
SVN,0.29971422674436554,0.46460561086518215,0.2692307692307692,0.6538461538461539,0.08408426575107891,0.503733299182855,0.7272727272727271,0.18643365317702332,0.3604952598545035,0.4640883977900554,0.22834645669291342,0.4285714285714284,0.31860036832412586,0.6099290780141846,0.47058823529411775,0.5864197530864192,0.4722222222222223
SWE,0.6718832396522292,0.9488784527632433,0.23076923076923078,0.9230769230769231,0.8845909143737052,0.8216772316773371,0.8121212121212116,0.9285469075813747,0.8996038860224875,0.94475138121547,0.7480314960629921,0.9464285714285712,0.84622467771639,0.7163120567375891,0.8470588235294123,0.5679012345679011,0.5763888888888884
USA,0.6718832396522292,0.5804411504961488,0.3974358974358974,0.4230769230769231,0.5908631177894369,0.42105530908026334,0.648484848484848,0.775835328680427,0.5207248807635694,0.861878453038674,0.5944881889763778,0.7232142857142851,0.9539594843462247,0.9078014184397158,0.9058823529411768,0.833333333333333,1.0
